,t_12,t_23,n_frac_times,t_frac,bank_id,r_first,r_second,s_id,majX,avg_coverage,full_coverage_cells,avg_stability,full_stable_cells
0,0,0,3,0,0,87,698,0,3,50.0,0.0,49.875,0.0
0,0,0,3,0,1,87,698,0,3,50.0,0.0,50.478125,0.0
0,0,0,3,0,2,87,698,0,3,50.0,0.0,50.178125,0.0
0,0,0,3,0,3,87,698,0,3,50.0,0.0,49.9625,0.0
0,0,1,3,0,0,87,698,0,3,50.0,0.0,49.996875,0.0
0,0,1,3,0,1,87,698,0,3,50.0,0.0,50.040625,0.0
0,0,1,3,0,2,87,698,0,3,50.0,0.0,49.46875,0.0
0,0,1,3,0,3,87,698,0,3,50.0,0.0,49.759375,0.0
0,0,2,3,0,0,87,698,0,3,50.0,0.0,50.1,0.0
0,0,2,3,0,1,87,698,0,3,50.0,0.0,49.84375,0.0
0,0,2,3,0,2,87,698,0,3,50.0,0.0,50.203125,0.0
0,0,2,3,0,3,87,698,0,3,50.0,0.0,49.928125,0.0
0,0,3,3,0,0,87,698,0,3,50.0,0.0,50.04375,0.0
0,0,3,3,0,1,87,698,0,3,50.0,0.0,50.278125,0.0
0,0,3,3,0,2,87,698,0,3,50.0,0.0,50.26875,0.0
0,0,3,3,0,3,87,698,0,3,50.0,0.0,49.8,0.0
0,1,0,3,0,0,87,698,0,3,100.0,100.0,99.961179,93.235779
0,1,0,3,0,1,87,698,0,3,100.0,100.0,99.934769,92.03186
0,1,0,3,0,2,87,698,0,3,99.999237,99.995422,99.887775,89.421082
0,1,0,3,0,3,87,698,0,3,99.999746,99.998474,99.883784,88.716125
0,1,1,3,0,0,87,698,0,3,80.701192,7.926941,84.681099,0.350952
0,1,1,3,0,1,87,698,0,3,80.501811,8.094788,84.7513,0.354004
0,1,1,3,0,2,87,698,0,3,80.569712,8.009338,84.991045,0.314331
0,1,1,3,0,3,87,698,0,3,80.98348,8.761597,84.930644,0.427246
0,1,2,3,0,0,87,698,0,3,66.666667,0.0,75.025,0.0
0,1,2,3,0,1,87,698,0,3,66.666667,0.0,75.10625,0.0
0,1,2,3,0,2,87,698,0,3,66.666667,0.0,75.05,0.0
0,1,2,3,0,3,87,698,0,3,66.666667,0.0,75.08125,0.0
0,1,3,3,0,0,87,698,0,3,66.666667,0.0,74.875,0.0
0,1,3,3,0,1,87,698,0,3,66.666667,0.0,75.246875,0.0
0,1,3,3,0,2,87,698,0,3,66.666667,0.0,74.6875,0.0
0,1,3,3,0,3,87,698,0,3,66.666667,0.0,75.15625,0.0
0,2,0,3,0,0,87,698,0,3,82.101949,13.899231,83.367422,0.959778
0,2,0,3,0,1,87,698,0,3,81.920878,12.789917,83.764545,0.949097
0,2,0,3,0,2,87,698,0,3,81.66453,9.622192,84.365587,0.502014
0,2,0,3,0,3,87,698,0,3,81.730906,10.118103,84.787546,0.552368
0,2,1,3,0,0,87,698,0,3,66.666667,0.0,75.428125,0.0
0,2,1,3,0,1,87,698,0,3,66.666667,0.0,75.06875,0.0
0,2,1,3,0,2,87,698,0,3,66.666667,0.0,75.2375,0.0
0,2,1,3,0,3,87,698,0,3,66.666667,0.0,75.13125,0.0
0,2,2,3,0,0,87,698,0,3,66.666667,0.0,75.19375,0.0
0,2,2,3,0,1,87,698,0,3,66.666667,0.0,75.0375,0.0
0,2,2,3,0,2,87,698,0,3,66.666667,0.0,74.959375,0.0
0,2,2,3,0,3,87,698,0,3,66.666667,0.0,75.1,0.0
0,2,3,3,0,0,87,698,0,3,66.666667,0.0,75.028125,0.0
0,2,3,3,0,1,87,698,0,3,66.666667,0.0,75.025,0.0
0,2,3,3,0,2,87,698,0,3,66.666667,0.0,74.596875,0.0
0,2,3,3,0,3,87,698,0,3,66.666667,0.0,74.721875,0.0
0,3,0,3,0,0,87,698,0,3,66.666667,0.0,74.84375,0.0
0,3,0,3,0,1,87,698,0,3,66.666667,0.0,75.015625,0.0
0,3,0,3,0,2,87,698,0,3,66.666667,0.0,75.065625,0.0
0,3,0,3,0,3,87,698,0,3,66.666667,0.0,75.090625,0.0
0,3,1,3,0,0,87,698,0,3,66.666667,0.0,75.0875,0.0
0,3,1,3,0,1,87,698,0,3,66.666667,0.0,75.03125,0.0
0,3,1,3,0,2,87,698,0,3,66.666667,0.0,74.975,0.0
0,3,1,3,0,3,87,698,0,3,66.666667,0.0,74.88125,0.0
0,3,2,3,0,0,87,698,0,3,66.666667,0.0,75.03125,0.0
0,3,2,3,0,1,87,698,0,3,66.666667,0.0,75.084375,0.0
0,3,2,3,0,2,87,698,0,3,66.666667,0.0,75.228125,0.0
0,3,2,3,0,3,87,698,0,3,66.666667,0.0,75.246875,0.0
0,3,3,3,0,0,87,698,0,3,66.666667,0.0,75.075,0.0
0,3,3,3,0,1,87,698,0,3,66.666667,0.0,75.396875,0.0
0,3,3,3,0,2,87,698,0,3,66.666667,0.0,74.646875,0.0
0,3,3,3,0,3,87,698,0,3,66.666667,0.0,75.021875,0.0
0,0,0,3,0,0,51,616,0,3,50.0,0.0,50.08125,0.0
0,0,0,3,0,1,51,616,0,3,50.0,0.0,50.3625,0.0
0,0,0,3,0,2,51,616,0,3,50.0,0.0,50.034375,0.0
0,0,0,3,0,3,51,616,0,3,50.0,0.0,49.659375,0.0
0,0,1,3,0,0,51,616,0,3,50.0,0.0,50.08125,0.0
0,0,1,3,0,1,51,616,0,3,50.0,0.0,50.5375,0.0
0,0,1,3,0,2,51,616,0,3,50.0,0.0,50.0375,0.0
0,0,1,3,0,3,51,616,0,3,50.0,0.0,49.746875,0.0
0,0,2,3,0,0,51,616,0,3,50.0,0.0,50.003125,0.0
0,0,2,3,0,1,51,616,0,3,50.0,0.0,49.74375,0.0
0,0,2,3,0,2,51,616,0,3,50.0,0.0,49.675,0.0
0,0,2,3,0,3,51,616,0,3,50.0,0.0,49.965625,0.0
0,0,3,3,0,0,51,616,0,3,50.0,0.0,50.64375,0.0
0,0,3,3,0,1,51,616,0,3,50.0,0.0,49.84375,0.0
0,0,3,3,0,2,51,616,0,3,50.0,0.0,50.01875,0.0
0,0,3,3,0,3,51,616,0,3,50.0,0.0,50.146875,0.0
0,1,0,3,0,0,51,616,0,3,100.0,100.0,99.867351,92.932129
0,1,0,3,0,1,51,616,0,3,100.0,100.0,99.841714,91.934204
0,1,0,3,0,2,51,616,0,3,100.0,100.0,99.896542,93.333435
0,1,0,3,0,3,51,616,0,3,100.0,100.0,99.89765,93.521118
0,1,1,3,0,0,51,616,0,3,88.139852,39.186096,87.91819,4.516602
0,1,1,3,0,1,51,616,0,3,88.356272,38.722229,88.033145,4.26178
0,1,1,3,0,2,51,616,0,3,88.05898,38.562012,87.769273,4.182434
0,1,1,3,0,3,51,616,0,3,88.312531,40.293884,87.659827,4.93927
0,1,2,3,0,0,51,616,0,3,66.666667,0.0,75.243755,0.0
0,1,2,3,0,1,51,616,0,3,66.666667,0.0,75.706252,0.0
0,1,2,3,0,2,51,616,0,3,66.666667,0.0,75.156256,0.0
0,1,2,3,0,3,51,616,0,3,66.666667,0.0,74.903131,0.0
0,1,3,3,0,0,51,616,0,3,66.666667,0.0,75.078125,0.0
0,1,3,3,0,1,51,616,0,3,66.666667,0.0,75.11875,0.0
0,1,3,3,0,2,51,616,0,3,66.666667,0.0,74.93125,0.0
0,1,3,3,0,3,51,616,0,3,66.666667,0.0,75.196875,0.0
0,2,0,3,0,0,51,616,0,3,87.90919,46.934509,86.214093,8.023071
0,2,0,3,0,1,51,616,0,3,87.783305,44.708252,86.45426,7.124329
0,2,0,3,0,2,51,616,0,3,88.181051,40.917969,86.93978,5.413818
0,2,0,3,0,3,51,616,0,3,88.556925,42.111206,87.399181,5.41687
0,2,1,3,0,0,51,616,0,3,66.666667,0.0,75.015628,0.0
0,2,1,3,0,1,51,616,0,3,66.666667,0.0,74.87813,0.0
0,2,1,3,0,2,51,616,0,3,66.666667,0.0,75.350005,0.0
0,2,1,3,0,3,51,616,0,3,66.666667,0.0,75.009384,0.0
0,2,2,3,0,0,51,616,0,3,66.666667,0.0,75.5375,0.0
0,2,2,3,0,1,51,616,0,3,66.666667,0.0,74.471875,0.0
0,2,2,3,0,2,51,616,0,3,66.666667,0.0,74.871875,0.0
0,2,2,3,0,3,51,616,0,3,66.666667,0.0,75.30625,0.0
0,2,3,3,0,0,51,616,0,3,66.666667,0.0,74.721875,0.0
0,2,3,3,0,1,51,616,0,3,66.666667,0.0,75.08125,0.0
0,2,3,3,0,2,51,616,0,3,66.666667,0.0,75.334375,0.0
0,2,3,3,0,3,51,616,0,3,66.666667,0.0,74.80625,0.0
0,3,0,3,0,0,51,616,0,3,66.666921,0.0,74.9313,0.0
0,3,0,3,0,1,51,616,0,3,66.666667,0.0,74.659386,0.0
0,3,0,3,0,2,51,616,0,3,66.667175,0.0,74.425005,0.0
0,3,0,3,0,3,51,616,0,3,66.666667,0.0,74.603149,0.0
0,3,1,3,0,0,51,616,0,3,66.666667,0.0,75.09375,0.0
0,3,1,3,0,1,51,616,0,3,66.666667,0.0,75.115625,0.0
0,3,1,3,0,2,51,616,0,3,66.666667,0.0,74.90625,0.0
0,3,1,3,0,3,51,616,0,3,66.666667,0.0,75.271875,0.0
0,3,2,3,0,0,51,616,0,3,66.666667,0.0,75.28125,0.0
0,3,2,3,0,1,51,616,0,3,66.666667,0.0,75.609375,0.0
0,3,2,3,0,2,51,616,0,3,66.666667,0.0,74.928125,0.0
0,3,2,3,0,3,51,616,0,3,66.666667,0.0,74.91875,0.0
0,3,3,3,0,0,51,616,0,3,66.666667,0.0,75.0625,0.0
0,3,3,3,0,1,51,616,0,3,66.666667,0.0,74.946875,0.0
0,3,3,3,0,2,51,616,0,3,66.666667,0.0,74.465625,0.0
0,3,3,3,0,3,51,616,0,3,66.666667,0.0,74.853125,0.0
0,0,0,3,0,0,121,650,0,3,50.0,0.0,49.634375,0.0
0,0,0,3,0,1,121,650,0,3,50.0,0.0,50.21875,0.0
0,0,0,3,0,2,121,650,0,3,50.0,0.0,50.45625,0.0
0,0,0,3,0,3,121,650,0,3,50.0,0.0,50.040625,0.0
0,0,1,3,0,0,121,650,0,3,50.0,0.0,50.19375,0.0
0,0,1,3,0,1,121,650,0,3,50.0,0.0,50.225,0.0
0,0,1,3,0,2,121,650,0,3,50.0,0.0,50.040625,0.0
0,0,1,3,0,3,121,650,0,3,50.0,0.0,49.896875,0.0
0,0,2,3,0,0,121,650,0,3,50.0,0.0,50.134375,0.0
0,0,2,3,0,1,121,650,0,3,50.0,0.0,49.471875,0.0
0,0,2,3,0,2,121,650,0,3,50.0,0.0,50.3,0.0
0,0,2,3,0,3,121,650,0,3,50.0,0.0,50.25,0.0
0,0,3,3,0,0,121,650,0,3,50.0,0.0,49.896875,0.0
0,0,3,3,0,1,121,650,0,3,50.0,0.0,49.85,0.0
0,0,3,3,0,2,121,650,0,3,50.0,0.0,49.596875,0.0
0,0,3,3,0,3,121,650,0,3,50.0,0.0,50.275,0.0
0,1,0,3,0,0,121,650,0,3,100.0,100.0,99.995384,99.490356
0,1,0,3,0,1,121,650,0,3,100.0,100.0,99.996399,99.479675
0,1,0,3,0,2,121,650,0,3,100.0,100.0,99.99679,99.580383
0,1,0,3,0,3,121,650,0,3,100.0,100.0,99.99722,99.659729
0,1,1,3,0,0,121,650,0,3,85.443624,25.976562,88.272296,3.303528
0,1,1,3,0,1,121,650,0,3,85.279592,25.779724,88.230939,3.29895
0,1,1,3,0,2,121,650,0,3,85.462697,26.0849,88.298598,3.407288
0,1,1,3,0,3,121,650,0,3,85.852305,27.505493,88.553294,3.823853
0,1,2,3,0,0,121,650,0,3,66.666667,0.0,74.88125,0.0
0,1,2,3,0,1,121,650,0,3,66.666667,0.0,74.584375,0.0
0,1,2,3,0,2,121,650,0,3,66.666667,0.0,75.65,0.0
0,1,2,3,0,3,121,650,0,3,66.666667,0.0,75.196875,0.0
0,1,3,3,0,0,121,650,0,3,66.666667,0.0,74.5625,0.0
0,1,3,3,0,1,121,650,0,3,66.666667,0.0,74.990625,0.0
0,1,3,3,0,2,121,650,0,3,66.666667,0.0,74.7,0.0
0,1,3,3,0,3,121,650,0,3,66.666667,0.0,75.15,0.0
0,2,0,3,0,0,121,650,0,3,89.715576,39.898682,89.640654,6.941223
0,2,0,3,0,1,121,650,0,3,89.016215,37.335205,89.150798,6.314087
0,2,0,3,0,2,121,650,0,3,87.148031,30.163574,88.707108,4.512024
0,2,0,3,0,3,121,650,0,3,87.295278,31.063843,88.66212,4.512024
0,2,1,3,0,0,121,650,0,3,66.666667,0.0,75.290625,0.0
0,2,1,3,0,1,121,650,0,3,66.666667,0.0,74.55,0.0
0,2,1,3,0,2,121,650,0,3,66.666667,0.0,74.971875,0.0
0,2,1,3,0,3,121,650,0,3,66.666667,0.0,74.75,0.0
0,2,2,3,0,0,121,650,0,3,66.666667,0.0,74.875,0.0
0,2,2,3,0,1,121,650,0,3,66.666667,0.0,75.009375,0.0
0,2,2,3,0,2,121,650,0,3,66.666667,0.0,75.309375,0.0
0,2,2,3,0,3,121,650,0,3,66.666667,0.0,74.9625,0.0
0,2,3,3,0,0,121,650,0,3,66.666667,0.0,74.75,0.0
0,2,3,3,0,1,121,650,0,3,66.666667,0.0,74.928125,0.0
0,2,3,3,0,2,121,650,0,3,66.666667,0.0,74.921875,0.0
0,2,3,3,0,3,121,650,0,3,66.666667,0.0,74.85625,0.0
0,3,0,3,0,0,121,650,0,3,66.666667,0.0,74.43125,0.0
0,3,0,3,0,1,121,650,0,3,66.666667,0.0,74.996875,0.0
0,3,0,3,0,2,121,650,0,3,66.666667,0.0,75.178125,0.0
0,3,0,3,0,3,121,650,0,3,66.666667,0.0,74.975,0.0
0,3,1,3,0,0,121,650,0,3,66.666667,0.0,74.996875,0.0
0,3,1,3,0,1,121,650,0,3,66.666667,0.0,74.696875,0.0
0,3,1,3,0,2,121,650,0,3,66.666667,0.0,75.203125,0.0
0,3,1,3,0,3,121,650,0,3,66.666667,0.0,75.30625,0.0
0,3,2,3,0,0,121,650,0,3,66.666667,0.0,75.371875,0.0
0,3,2,3,0,1,121,650,0,3,66.666667,0.0,74.903125,0.0
0,3,2,3,0,2,121,650,0,3,66.666667,0.0,74.8375,0.0
0,3,2,3,0,3,121,650,0,3,66.666667,0.0,75.0,0.0
0,3,3,3,0,0,121,650,0,3,66.666667,0.0,74.9875,0.0
0,3,3,3,0,1,121,650,0,3,66.666667,0.0,74.66875,0.0
0,3,3,3,0,2,121,650,0,3,66.666667,0.0,74.946875,0.0
0,3,3,3,0,3,121,650,0,3,66.666667,0.0,74.728125,0.0
0,0,0,3,0,0,282,761,0,3,50.0,0.0,49.728125,0.0
0,0,0,3,0,1,282,761,0,3,50.0,0.0,50.275,0.0
0,0,0,3,0,2,282,761,0,3,50.0,0.0,49.953125,0.0
0,0,0,3,0,3,282,761,0,3,50.0,0.0,49.984375,0.0
0,0,1,3,0,0,282,761,0,3,50.0,0.0,49.7625,0.0
0,0,1,3,0,1,282,761,0,3,50.0,0.0,49.978125,0.0
0,0,1,3,0,2,282,761,0,3,50.0,0.0,50.009375,0.0
0,0,1,3,0,3,282,761,0,3,50.0,0.0,50.00625,0.0
0,0,2,3,0,0,282,761,0,3,50.0,0.0,50.41875,0.0
0,0,2,3,0,1,282,761,0,3,50.0,0.0,50.29375,0.0
0,0,2,3,0,2,282,761,0,3,50.0,0.0,49.7,0.0
0,0,2,3,0,3,282,761,0,3,50.0,0.0,50.290625,0.0
0,0,3,3,0,0,282,761,0,3,50.0,0.0,49.896875,0.0
0,0,3,3,0,1,282,761,0,3,50.0,0.0,50.003125,0.0
0,0,3,3,0,2,282,761,0,3,50.0,0.0,49.725,0.0
0,0,3,3,0,3,282,761,0,3,50.0,0.0,49.775,0.0
0,1,0,3,0,0,282,761,0,3,100.0,100.0,99.999796,99.952698
0,1,0,3,0,1,282,761,0,3,100.0,100.0,99.999712,99.935913
0,1,0,3,0,2,282,761,0,3,100.0,100.0,99.999808,99.894714
0,1,0,3,0,3,282,761,0,3,100.0,100.0,99.999406,99.806213
0,1,1,3,0,0,282,761,0,3,91.664886,59.82666,88.77776,13.261414
0,1,1,3,0,1,282,761,0,3,91.411082,57.832336,88.144646,11.709595
0,1,1,3,0,2,282,761,0,3,90.880076,55.867004,87.972934,11.901855
0,1,1,3,0,3,282,761,0,3,91.312408,57.287598,88.350612,12.823486
0,1,2,3,0,0,282,761,0,3,66.666667,0.0,75.078191,0.0
0,1,2,3,0,1,282,761,0,3,66.666667,0.0,75.040695,0.0
0,1,2,3,0,2,282,761,0,3,66.666667,0.0,75.309431,0.0
0,1,2,3,0,3,282,761,0,3,66.666667,0.0,75.03132,0.0
0,1,3,3,0,0,282,761,0,3,66.666667,0.0,74.85625,0.0
0,1,3,3,0,1,282,761,0,3,66.666667,0.0,75.1625,0.0
0,1,3,3,0,2,282,761,0,3,66.666667,0.0,74.890625,0.0
0,1,3,3,0,3,282,761,0,3,66.666667,0.0,74.775,0.0
0,2,0,3,0,0,282,761,0,3,91.988881,67.024231,88.064334,18.125916
0,2,0,3,0,1,282,761,0,3,91.677094,64.56604,87.896695,15.898132
0,2,0,3,0,2,282,761,0,3,91.312917,60.192871,87.473071,13.296509
0,2,0,3,0,3,282,761,0,3,91.524251,59.962463,88.138168,14.013672
0,2,1,3,0,0,282,761,0,3,66.666667,0.0,75.318854,0.0
0,2,1,3,0,1,282,761,0,3,66.666667,0.0,74.746922,0.0
0,2,1,3,0,2,282,761,0,3,66.666667,0.0,75.296959,0.0
0,2,1,3,0,3,282,761,0,3,66.666667,0.0,75.146973,0.0
0,2,2,3,0,0,282,761,0,3,66.666667,0.0,74.73125,0.0
0,2,2,3,0,1,282,761,0,3,66.666667,0.0,75.3375,0.0
0,2,2,3,0,2,282,761,0,3,66.666667,0.0,75.08125,0.0
0,2,2,3,0,3,282,761,0,3,66.666667,0.0,74.909375,0.0
0,2,3,3,0,0,282,761,0,3,66.666667,0.0,75.01875,0.0
0,2,3,3,0,1,282,761,0,3,66.666667,0.0,74.7375,0.0
0,2,3,3,0,2,282,761,0,3,66.666667,0.0,74.725,0.0
0,2,3,3,0,3,282,761,0,3,66.666667,0.0,74.846875,0.0
0,3,0,3,0,0,282,761,0,3,66.668447,0.0,74.839255,0.0
0,3,0,3,0,1,282,761,0,3,66.666667,0.0,74.884538,0.0
0,3,0,3,0,2,282,761,0,3,66.666667,0.0,74.781323,0.0
0,3,0,3,0,3,282,761,0,3,66.666667,0.0,75.259479,0.0
0,3,1,3,0,0,282,761,0,3,66.666667,0.0,75.203127,0.0
0,3,1,3,0,1,282,761,0,3,66.666667,0.0,74.58125,0.0
0,3,1,3,0,2,282,761,0,3,66.666667,0.0,75.1,0.0
0,3,1,3,0,3,282,761,0,3,66.666667,0.0,75.25625,0.0
0,3,2,3,0,0,282,761,0,3,66.666667,0.0,75.165625,0.0
0,3,2,3,0,1,282,761,0,3,66.666667,0.0,75.1125,0.0
0,3,2,3,0,2,282,761,0,3,66.666667,0.0,75.265625,0.0
0,3,2,3,0,3,282,761,0,3,66.666667,0.0,74.95,0.0
0,3,3,3,0,0,282,761,0,3,66.666667,0.0,74.975,0.0
0,3,3,3,0,1,282,761,0,3,66.666667,0.0,74.971875,0.0
0,3,3,3,0,2,282,761,0,3,66.666667,0.0,74.94375,0.0
0,3,3,3,0,3,282,761,0,3,66.666667,0.0,74.740625,0.0
0,0,0,3,0,0,174,529,0,3,50.0,0.0,50.00625,0.0
0,0,0,3,0,1,174,529,0,3,50.0,0.0,50.16875,0.0
0,0,0,3,0,2,174,529,0,3,50.0,0.0,50.503125,0.0
0,0,0,3,0,3,174,529,0,3,50.0,0.0,50.1,0.0
0,0,1,3,0,0,174,529,0,3,50.0,0.0,49.81875,0.0
0,0,1,3,0,1,174,529,0,3,50.0,0.0,50.471875,0.0
0,0,1,3,0,2,174,529,0,3,50.0,0.0,49.796875,0.0
0,0,1,3,0,3,174,529,0,3,50.0,0.0,50.153125,0.0
0,0,2,3,0,0,174,529,0,3,50.0,0.0,49.846875,0.0
0,0,2,3,0,1,174,529,0,3,50.0,0.0,49.678125,0.0
0,0,2,3,0,2,174,529,0,3,50.0,0.0,50.078125,0.0
0,0,2,3,0,3,174,529,0,3,50.0,0.0,49.8625,0.0
0,0,3,3,0,0,174,529,0,3,50.0,0.0,50.11875,0.0
0,0,3,3,0,1,174,529,0,3,50.0,0.0,50.215625,0.0
0,0,3,3,0,2,174,529,0,3,50.0,0.0,49.834375,0.0
0,0,3,3,0,3,174,529,0,3,50.0,0.0,49.725,0.0
0,1,0,3,0,0,174,529,0,3,100.0,100.0,99.948247,92.402649
0,1,0,3,0,1,174,529,0,3,100.0,100.0,99.928607,93.383789
0,1,0,3,0,2,174,529,0,3,99.999491,99.996948,99.866905,88.877869
0,1,0,3,0,3,174,529,0,3,99.999746,99.998474,99.8638,89.500427
0,1,1,3,0,0,174,529,0,3,82.487488,17.880249,84.105289,4.145813
0,1,1,3,0,1,174,529,0,3,82.691447,18.080139,84.433311,4.167175
0,1,1,3,0,2,174,529,0,3,82.923635,18.229675,84.463431,4.133606
0,1,1,3,0,3,174,529,0,3,82.489268,18.682861,84.030841,4.449463
0,1,2,3,0,0,174,529,0,3,66.666667,0.0,75.09375,0.0
0,1,2,3,0,1,174,529,0,3,66.666667,0.0,74.9,0.0
0,1,2,3,0,2,174,529,0,3,66.666667,0.0,74.775,0.0
0,1,2,3,0,3,174,529,0,3,66.666667,0.0,75.309375,0.0
0,1,3,3,0,0,174,529,0,3,66.666667,0.0,75.159375,0.0
0,1,3,3,0,1,174,529,0,3,66.666667,0.0,74.803125,0.0
0,1,3,3,0,2,174,529,0,3,66.666667,0.0,75.309375,0.0
0,1,3,3,0,3,174,529,0,3,66.666667,0.0,74.953125,0.0
0,2,0,3,0,0,174,529,0,3,80.800629,23.869324,81.648384,5.809021
0,2,0,3,0,1,174,529,0,3,81.42039,23.669434,82.160493,5.653381
0,2,0,3,0,2,174,529,0,3,82.421621,20.207214,83.302448,4.63562
0,2,0,3,0,3,174,529,0,3,82.345327,20.36438,83.340025,4.756165
0,2,1,3,0,0,174,529,0,3,66.666667,0.0,75.225,0.0
0,2,1,3,0,1,174,529,0,3,66.666667,0.0,75.246875,0.0
0,2,1,3,0,2,174,529,0,3,66.666667,0.0,75.1625,0.0
0,2,1,3,0,3,174,529,0,3,66.666667,0.0,75.415625,0.0
0,2,2,3,0,0,174,529,0,3,66.666667,0.0,74.984375,0.0
0,2,2,3,0,1,174,529,0,3,66.666667,0.0,74.884375,0.0
0,2,2,3,0,2,174,529,0,3,66.666667,0.0,75.08125,0.0
0,2,2,3,0,3,174,529,0,3,66.666667,0.0,74.915625,0.0
0,2,3,3,0,0,174,529,0,3,66.666667,0.0,74.965625,0.0
0,2,3,3,0,1,174,529,0,3,66.666667,0.0,74.59375,0.0
0,2,3,3,0,2,174,529,0,3,66.666667,0.0,74.59375,0.0
0,2,3,3,0,3,174,529,0,3,66.666667,0.0,74.84375,0.0
0,3,0,3,0,0,174,529,0,3,66.666667,0.0,75.09375,0.0
0,3,0,3,0,1,174,529,0,3,66.666667,0.0,75.159375,0.0
0,3,0,3,0,2,174,529,0,3,66.666667,0.0,75.084375,0.0
0,3,0,3,0,3,174,529,0,3,66.666667,0.0,75.078125,0.0
0,3,1,3,0,0,174,529,0,3,66.666667,0.0,74.6875,0.0
0,3,1,3,0,1,174,529,0,3,66.666667,0.0,75.209375,0.0
0,3,1,3,0,2,174,529,0,3,66.666667,0.0,75.09375,0.0
0,3,1,3,0,3,174,529,0,3,66.666667,0.0,75.45625,0.0
0,3,2,3,0,0,174,529,0,3,66.666667,0.0,75.215625,0.0
0,3,2,3,0,1,174,529,0,3,66.666667,0.0,74.7,0.0
0,3,2,3,0,2,174,529,0,3,66.666667,0.0,75.078125,0.0
0,3,2,3,0,3,174,529,0,3,66.666667,0.0,75.075,0.0
0,3,3,3,0,0,174,529,0,3,66.666667,0.0,75.40625,0.0
0,3,3,3,0,1,174,529,0,3,66.666667,0.0,75.16875,0.0
0,3,3,3,0,2,174,529,0,3,66.666667,0.0,75.2875,0.0
0,3,3,3,0,3,174,529,0,3,66.666667,0.0,74.903125,0.0
0,0,0,3,0,0,225,660,0,3,50.0,0.0,49.596875,0.0
0,0,0,3,0,1,225,660,0,3,50.0,0.0,49.709375,0.0
0,0,0,3,0,2,225,660,0,3,50.0,0.0,50.271875,0.0
0,0,0,3,0,3,225,660,0,3,50.0,0.0,49.834375,0.0
0,0,1,3,0,0,225,660,0,3,50.0,0.0,49.95,0.0
0,0,1,3,0,1,225,660,0,3,50.0,0.0,49.903125,0.0
0,0,1,3,0,2,225,660,0,3,50.0,0.0,49.759375,0.0
0,0,1,3,0,3,225,660,0,3,50.0,0.0,49.93125,0.0
0,0,2,3,0,0,225,660,0,3,50.0,0.0,49.525,0.0
0,0,2,3,0,1,225,660,0,3,50.0,0.0,50.10625,0.0
0,0,2,3,0,2,225,660,0,3,50.0,0.0,49.834375,0.0
0,0,2,3,0,3,225,660,0,3,50.0,0.0,49.9875,0.0
0,0,3,3,0,0,225,660,0,3,50.0,0.0,50.215625,0.0
0,0,3,3,0,1,225,660,0,3,50.0,0.0,50.175,0.0
0,0,3,3,0,2,225,660,0,3,50.0,0.0,50.4,0.0
0,0,3,3,0,3,225,660,0,3,50.0,0.0,49.9625,0.0
0,1,0,3,0,0,225,660,0,3,100.0,100.0,99.944966,90.805054
0,1,0,3,0,1,225,660,0,3,100.0,100.0,99.915286,90.753174
0,1,0,3,0,2,225,660,0,3,99.997711,99.986267,99.766316,81.710815
0,1,0,3,0,3,225,660,0,3,99.998983,99.993896,99.759453,82.447815
0,1,1,3,0,0,225,660,0,3,79.459635,10.313416,84.362532,0.6073
0,1,1,3,0,1,225,660,0,3,79.666901,11.135864,84.747212,0.842285
0,1,1,3,0,2,225,660,0,3,79.415894,10.342407,84.189415,0.616455
0,1,1,3,0,3,225,660,0,3,79.690552,10.990906,84.480363,0.865173
0,1,2,3,0,0,225,660,0,3,66.666667,0.0,75.0625,0.0
0,1,2,3,0,1,225,660,0,3,66.666667,0.0,74.825,0.0
0,1,2,3,0,2,225,660,0,3,66.666667,0.0,74.790625,0.0
0,1,2,3,0,3,225,660,0,3,66.666667,0.0,75.11875,0.0
0,1,3,3,0,0,225,660,0,3,66.666667,0.0,75.353125,0.0
0,1,3,3,0,1,225,660,0,3,66.666667,0.0,74.6625,0.0
0,1,3,3,0,2,225,660,0,3,66.666667,0.0,74.609375,0.0
0,1,3,3,0,3,225,660,0,3,66.666667,0.0,75.1,0.0
0,2,0,3,0,0,225,660,0,3,81.942749,15.908813,84.107767,1.477051
0,2,0,3,0,1,225,660,0,3,81.946309,15.386963,84.383768,1.73645
0,2,0,3,0,2,225,660,0,3,81.045787,12.850952,84.451694,0.854492
0,2,0,3,0,3,225,660,0,3,80.885569,12.533569,84.660432,0.961304
0,2,1,3,0,0,225,660,0,3,66.666667,0.0,75.1375,0.0
0,2,1,3,0,1,225,660,0,3,66.666667,0.0,75.1625,0.0
0,2,1,3,0,2,225,660,0,3,66.666667,0.0,74.890625,0.0
0,2,1,3,0,3,225,660,0,3,66.666667,0.0,75.390625,0.0
0,2,2,3,0,0,225,660,0,3,66.666667,0.0,75.0,0.0
0,2,2,3,0,1,225,660,0,3,66.666667,0.0,74.803125,0.0
0,2,2,3,0,2,225,660,0,3,66.666667,0.0,75.228125,0.0
0,2,2,3,0,3,225,660,0,3,66.666667,0.0,74.478125,0.0
0,2,3,3,0,0,225,660,0,3,66.666667,0.0,75.2625,0.0
0,2,3,3,0,1,225,660,0,3,66.666667,0.0,75.03125,0.0
0,2,3,3,0,2,225,660,0,3,66.666667,0.0,74.625,0.0
